NAAN,REC_ID,ACCT,DESC,SOURCE,Code,SubCat,AMOUNT_HIST
2108292,7000559259,97902616,BB11B0055,50000411,9795,JPC,336.49
2109849,7000558505,92902616,BB11B0055,50000411,9795,JPC,439.17
2111430,7000559192,97902612,BB11B0055,50000411,9795,JPC,538.37
2108293,7000559340,97902629,BB11B0055,50000411,9795,JPC,538.37
2109850,7000558579,92902629,BB11B0055,50000411,9795,JPC,702.67
2108105,7000558453,92902612,BB11B0055,50000411,9795,JPC,702.67
1876951,7000559217,97902615,BB11B0055,50000411,9795,JPC,1076.75
2109848,7000558472,92902615,BB11B0055,50000411,9795,JPC,1405.34
2111432,7000559300,97902621,BB11B0055,50000411,9795,JPC,4239.7
1876953,7000558548,92902621,BB11B0055,50000411,9795,JPC,5533.54
2111429,7000559161,97902610,BB11B0055,50000411,9795,JPC,26918.72
2109847,7000558428,92902610,BB11B0055,50000411,9795,JPC,35133.54
